SOURCE	TARGET	INTERACTION	N: -Log Student's T-test p-value Bait_GFP	N: Student's T-test q-value Bait_GFP	N: Student's T-test Difference Bait_GFP	N: Student's T-test Test statistic Bait_GFP	N: -Log Student's T-test p-value Bait_NLS	N: Student's T-test q-value Bait_NLS	N: Student's T-test Difference Bait_NLS	N: Student's T-test Test statistic Bait_NLS	"N: Max q-value (Bait_GFP; Bait_NLS)"	Experiment
C4B63_1g51	C4B63_2g92	interactor	370.158	0.000693816	857.338	803.348	864.711	0	611.494	556.802	0.000693816	BDF5				
C4B63_1g51	BCY84_18670	interactor	890.682	0	656.776	615.253	496.422	0.000594595	227.078	133.652	0.000594595	BDF5				
C4B63_1g51	C4B63_46g45	interactor	661.276	0.000489796	830.486	254.247	389.692	0.00103553	210.454	870.734	0.00103553	BDF5				
C4B63_1g51	C4B63_8g485	interactor	182.125	0.0117951	299.081	336.733	150.566	0.040376	21.825	27.988	0.040376	BDF5				
C4B63_1g51	C4B63_28g81	interactor	465.553	0.00025679	747.842	118.255	385.887	0.000990291	635.414	857.238	0.000990291	BDF5				
C4B63_1g51	C4B63_6g222	interactor	738.226	0	352.193	342.207	27.942	0.00496214	41.837	543.745	0.00496214	BDF5				
C4B63_1g51	C4B63_25g212	interactor	476.995	0.000272251	249.007	123.757	262.459	0.00696552	246.042	503.285	0.00696552	BDF5				
C4B63_1g51	C4B63_58g53	interactor	313.956	0.00104265	269.323	633.296	268.529	0.00566053	254.574	517.516	0.00566053	BDF5				
C4B63_1g51	C4B63_20g159	interactor	383.058	0.000733652	248.616	847.321	365.366	0.00132174	236.655	78.752	0.00132174	BDF5				
C4B63_1g51	C4B63_7g224	interactor	480.957	0.000284932	341.383	125.718	329.675	0.00254434	262.881	677.595	0.00254434	BDF5				
C4B63_1g51	C4B63_24g325	proximal	713.108	0.000827586	290.637	310.612	432.166	0.00115625	0.968959	103.465	0.00115625	BDF5				
C4B63_1g51	C4B63_7g306	proximal	679.714	0.000571429	244.025	273.034	352.576	0.0016705	0.382728	746.551	0.0016705	BDF5				
C4B63_1g51	C4B63_2g389	proximal	697.835	0.00064	265.314	292.831	442.955	0.00127586	0.78291	108.047	0.00127586	BDF5				
C4B63_1g51	C4B63_30g209	proximal	62.948	0.000384	73.483	224.788	785.139	0	128.544	409.988	0.000384	BDF5				
C4B63_1g51	C4B63_4g229	proximal	850.412	0	62.657	52.702	652.403	0	157.235	245.665	0	BDF5				
C4B63_1g51	C4B63_23g216	proximal	58.524	0.000266667	272.228	18.929	354.656	0.00137008	0.429387	753.087	0.00137008	BDF5				
C4B63_1g51	C4B63_51g191	proximal	585.688	0.000269663	278.297	189.621	408.068	0.00089697	0.995742	938.572	0.00089697	BDF5				
C4B63_1g51	C4B63_19g126	proximal	559.837	0.000220183	740.281	171.437	551.692	0	142.464	166.066	0.000220183	BDF5				
C4B63_1g51	C4B63_24g171	proximal	436.019	0.000452675	642.469	10.508	7.124	0	174.485	309.765	0.000452675	BDF5				
C4B63_1g51	C4B63_25g289	proximal	570.647	0.000238806	648.576	178.826	537.046	0	175.616	156.812	0.000238806	BDF5				
C4B63_1g51	C4B63_12g154	proximal	335.475	0.000831373	657.456	694.546	415.095	0.000973684	104.045	965.723	0.000973684	BDF5				
C4B63_1g51	C4B63_89g383c	proximal	569.343	0.000235294	473.912	177.918	52.187	0	153.525	147.745	0.000235294	BDF5				
C4B63_1g51	C4B63_61g127	proximal	807.968	0	207.414	44.764	629.814	0	121.484	22.508	0	BDF5				
C4B63_1g51	C4B63_31g548c	proximal	639.381	0.000421053	426.124	233.583	4.877	0.00055	184.832	129.121	0.00055	BDF5				
C4B63_1g51	C4B63_32g14	proximal	42.081	0.000518797	210.028	988.324	353.261	0.00150769	0.433116	748.699	0.00150769	BDF5				
C4B63_1g51	C4B63_425g10c	proximal	512.695	0.000161616	603.206	142.509	345.187	0.0015516	14.819	723.702	0.0015516	BDF5				
C4B63_1g51	C4B63_22g316	proximal	514.016	0.000163265	598.059	143.252	63.617	0	187.804	230.694	0.000163265	BDF5				
BCY84_19389	C4B63_30g209	interactor	665.522	0	854.346	258.456	795.183	0	248.061	42.615	0	BDF6				
BCY84_19389	C4B63_24g171	interactor	468.651	0.000176656	735.015	119.722	73.437	0	267.031	337.158	0.000176656	BDF6				
BCY84_19389	BCY84_18670	interactor	938.977	0	730.909	740.693	576.011	0	301.211	182.605	0	BDF6				
BCY84_19389	C4B63_46g45	interactor	705.939	0	982.965	302.137	527.871	0	362.933	151.269	0	BDF6				
BCY84_19389	C4B63_25g289	interactor	599.039	0.000474576	730.576	199.731	614.122	0	257.617	211.785	0.000474576	BDF6				
BCY84_19389	C4B63_8g485	interactor	3.709	0.000289157	369.733	805.824	553.942	0	288.902	167.533	0.000289157	BDF6				
BCY84_19389	C4B63_89g383c	interactor	62.371	0	571.988	219.814	694.766	0	251.601	289.381	0	BDF6				
BCY84_19389	C4B63_18g1091c	interactor	343.438	0.000494118	214.383	718.378	431.465	0.00072973	278.843	103.173	0.00072973	BDF6				
BCY84_19389	C4B63_425g10c	interactor	633.492	0	961.139	228.312	660.109	0	506.124	253.101	0	BDF6				
BCY84_19389	C4B63_22g316	interactor	59.251	0.000451613	804.753	194.723	926.069	0	394.498	70.486	0.000451613	BDF6				
BCY84_19389	C4B63_43g129	interactor	315.053	0.000583867	206.841	636.314	223.631	0.0185997	230.064	418.155	0.0185997	BDF6				
BCY84_19389	C4B63_95g27	interactor	288.826	0.000940113	265.371	567.142	191.375	0.0310709	384.709	354.148	0.0310709	BDF6				
BCY84_19389	C4B63_20g159	interactor	278.438	0.00112446	246.224	541.343	265.287	0.00916279	234.263	509.881	0.00916279	BDF6				
BCY84_19389	C4B63_16g124	interactor	37.492	0.00019788	278.352	819.349	460.445	0.00101887	311.995	115.873	0.00101887	BDF6				
BCY84_19389	C4B63_10g400	interactor	458.463	0.000166172	585.028	114.961	390.022	0.00107071	419.161	871.913	0.00107071	BDF6				
BCY84_19389	C4B63_27g3	proximal	736.087	0	287.305	339.398	395.831	0.00112766	0.655257	8.929	0.00112766	BDF6				
BCY84_19389	C4B63_7g306	proximal	680.181	0	254.828	273.527	384.327	0.00128155	0.49076	851.757	0.00128155	BDF6				
BCY84_19389	C4B63_23g216	proximal	616.793	0	297.135	213.992	538.664	0	0.678453	157.809	0	BDF6				
BCY84_19389	C4B63_4g264	proximal	369.648	0.00039523	124.797	801.652	478.382	0.00117391	366.208	12.444	0.00117391	BDF6				
BCY84_19389	C4B63_19g126	proximal	548.973	0.000314607	704.275	164.309	536.641	0	106.458	156.563	0.000314607	BDF6				
BCY84_19389	C4B63_84g34	proximal	481.034	0.000195122	291.615	125.756	681.076	0	169.104	274.475	0.000195122	BDF6				
BCY84_19389	C4B63_2g235	proximal	605.444	0.000495575	1.638	204.766	637.969	0	340.637	232.308	0.000495575	BDF6				
C4B63_7g80	C4B63_1g51	interactor	497.429	0	933.403	134.184	741.118	0	349.087	346.044	0	BDF8				
C4B63_7g80	C4B63_10g308	interactor	442.929	0	515.122	108.036	41.335	0.000189573	282.423	958.918	0.000189573	BDF8				
